component_name,component_type,App Name,App Owner,File_name,Open Mode,Closed,Read,Write,Rewrite,Start,Release,Delete,Sort,Merge,Optional
AP40005C,COBOL,Actuarial,"Hutto, Amy",STMIN,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AP40005C,COBOL,Actuarial,"Hutto, Amy",PERIN,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AP40005C,COBOL,Actuarial,"Hutto, Amy",LOBTABLE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AP40005C,COBOL,Actuarial,"Hutto, Amy",STMOUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
AP40005C,COBOL,Actuarial,"Hutto, Amy",STMCHK,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
AP40005C,COBOL,Actuarial,"Hutto, Amy",STMTOT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
AP40005C,COBOL,Actuarial,"Hutto, Amy",ADVTXS,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AP40005C,COBOL,Actuarial,"Hutto, Amy",COMMYTD,I-O,Yes,Yes,Yes,Yes,No,No,No,No,No,No
AP40020C,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AP40020C,COBOL,Actuarial,"Hutto, Amy",INPUT02,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AP40020C,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
AP4006U1,COBOL,Actuarial,"Hutto, Amy",MCAF,I-O,Yes,Yes,No,Yes,Yes,No,No,No,No,No
AP4006U1,COBOL,Actuarial,"Hutto, Amy",DETAIL1,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
AP40MER1,COBOL,Actuarial,"Hutto, Amy",AGENCY-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AP40MER1,COBOL,Actuarial,"Hutto, Amy",ACCUM-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AP40MER1,COBOL,Actuarial,"Hutto, Amy",OUTPUT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
APCB1130,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No
APCB1130,COBOL,Actuarial,"Hutto, Amy",INPUT02,INPUT,Yes,No,No,No,No,No,No,No,No,No
APCB1130,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
APCB2010,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No
APCB2010,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
APCB2010,COBOL,Actuarial,"Hutto, Amy",OUTPUT02,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
APCB2010,COBOL,Actuarial,"Hutto, Amy",OUTPUT03,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
APCC1100,COBOL,Actuarial,"Hutto, Amy",INPUT-CCBWAIV-FILE,INPUT,Yes,No,No,No,No,No,No,No,No,No
APCC1100,COBOL,Actuarial,"Hutto, Amy",OUTPUT-CCBWAIV-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
APCC1100,COBOL,Actuarial,"Hutto, Amy",PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
APSPGM23,COBOL,Actuarial,"Hutto, Amy",FD-ISSUES-UNPACK,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
APSPGM23,COBOL,Actuarial,"Hutto, Amy",FD-ISSUES-PACKED,INPUT,Yes,No,No,No,No,No,No,No,No,No
APSPGM24,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
APSPGM24,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARCB0040,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARCB0040,COBOL,Actuarial,"Hutto, Amy",OUTPUT99,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARCB0040,COBOL,Actuarial,"Hutto, Amy",OUTPUT88,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARCB0100,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARCB0100,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARCB0550,COBOL,Actuarial,"Hutto, Amy",GROSSUN-IN,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARCB0550,COBOL,Actuarial,"Hutto, Amy",GROSSUN-OUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARCB0600,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARCB0600,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARCB0600,COBOL,Actuarial,"Hutto, Amy",AUDREPT1,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC006,COBOL,Actuarial,"Hutto, Amy",IN-FACT,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC006,COBOL,Actuarial,"Hutto, Amy",IN-REP-D,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC006,COBOL,Actuarial,"Hutto, Amy",REPORT-DATE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC006,COBOL,Actuarial,"Hutto, Amy",OUT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC006,COBOL,Actuarial,"Hutto, Amy",PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC009,COBOL,Actuarial,"Hutto, Amy",FACTORS-IN,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC009,COBOL,Actuarial,"Hutto, Amy",PRINTER,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC015,COBOL,Actuarial,"Hutto, Amy",EXTRACT-FILE,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC015,COBOL,Actuarial,"Hutto, Amy",REPORT-DATE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC015,COBOL,Actuarial,"Hutto, Amy",B-REPORT-FILE,OUTPUT/OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC015,COBOL,Actuarial,"Hutto, Amy",E-REPORT-FILE,OUTPUT/OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC015,COBOL,Actuarial,"Hutto, Amy",F-REPORT-FILE,OUTPUT/OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC015,COBOL,Actuarial,"Hutto, Amy",S-REPORT-FILE,OUTPUT/OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC015,COBOL,Actuarial,"Hutto, Amy",T-REPORT-FILE,OUTPUT/OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC015,COBOL,Actuarial,"Hutto, Amy",GPA-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC015,COBOL,Actuarial,"Hutto, Amy",TEST-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC015,COBOL,Actuarial,"Hutto, Amy",PRINT-FILE1,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC015,COBOL,Actuarial,"Hutto, Amy",PRINT-FILE2,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC015,COBOL,Actuarial,"Hutto, Amy",T-COMPUTE-TOTS,OUTPUT,No,No,No,No,No,No,No,No,No,No
ARSCC028,COBOL,Actuarial,"Hutto, Amy",B-S-TAX-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC028,COBOL,Actuarial,"Hutto, Amy",EXPENSE-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC028,COBOL,Actuarial,"Hutto, Amy",PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC028,COBOL,Actuarial,"Hutto, Amy",PARM-FILE,INPUT,No,Yes,No,No,No,No,No,No,No,No
ARSCC030,COBOL,Actuarial,"Hutto, Amy",LOB-FILE-IN,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC030,COBOL,Actuarial,"Hutto, Amy",PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC030,COBOL,Actuarial,"Hutto, Amy",DISK-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC103,COBOL,Actuarial,"Hutto, Amy",EXT-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC103,COBOL,Actuarial,"Hutto, Amy",DATE-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC103,COBOL,Actuarial,"Hutto, Amy",PRT-OUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC104,COBOL,Actuarial,"Hutto, Amy",EXT-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC104,COBOL,Actuarial,"Hutto, Amy",DATE-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC104,COBOL,Actuarial,"Hutto, Amy",PRT-OUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC105,COBOL,Actuarial,"Hutto, Amy",EXT-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC105,COBOL,Actuarial,"Hutto, Amy",DATE-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC105,COBOL,Actuarial,"Hutto, Amy",PRT-OUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC106,COBOL,Actuarial,"Hutto, Amy",EXT-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC106,COBOL,Actuarial,"Hutto, Amy",DATE-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC106,COBOL,Actuarial,"Hutto, Amy",PRT-OUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC230,COBOL,Actuarial,"Hutto, Amy",AFL-EXTRACT-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC230,COBOL,Actuarial,"Hutto, Amy",LAPSE-CNTRL-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC230,COBOL,Actuarial,"Hutto, Amy",RESERVE-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC401,COBOL,Actuarial,"Hutto, Amy",EXP-BEST-TRAN,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC401,COBOL,Actuarial,"Hutto, Amy",CONV-HIST-UPDT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC401,COBOL,Actuarial,"Hutto, Amy",REPORT-DATE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC401,COBOL,Actuarial,"Hutto, Amy",PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC401,COBOL,Actuarial,"Hutto, Amy",PRINTR-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC501,COBOL,Actuarial,"Hutto, Amy",TYPE-RUN,INPUT,No,Yes,No,No,No,No,No,No,No,No
ARSCC501,COBOL,Actuarial,"Hutto, Amy",MASTER-FILE,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC501,COBOL,Actuarial,"Hutto, Amy",TRANS-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC501,COBOL,Actuarial,"Hutto, Amy",TERMINATION-FILE-IN,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC501,COBOL,Actuarial,"Hutto, Amy",REPORT-DATE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC501,COBOL,Actuarial,"Hutto, Amy",OUT-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC501,COBOL,Actuarial,"Hutto, Amy",PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC501,COBOL,Actuarial,"Hutto, Amy",ERROR-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC501,COBOL,Actuarial,"Hutto, Amy",TERMINATION-FILE-OUT,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC501,COBOL,Actuarial,"Hutto, Amy",TERM-DELETE-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC501,COBOL,Actuarial,"Hutto, Amy",CHM-DELETE-FILE,OUTPUT,No,No,No,No,No,No,No,No,No,No
ARSCC503,COBOL,Actuarial,"Hutto, Amy",IN-POLS,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC503,COBOL,Actuarial,"Hutto, Amy",IN-CHM,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC503,COBOL,Actuarial,"Hutto, Amy",REPORT-DATE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC503,COBOL,Actuarial,"Hutto, Amy",REP-PRINTR,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC503,COBOL,Actuarial,"Hutto, Amy",CNTRL-PRINTR,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT00,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT02,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT03,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT04,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT05,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT06,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT07,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT08,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT09,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT10,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT11,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT12,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT13,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT14,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT15,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT16,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT17,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT18,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT19,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT20,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT21,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT22,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT23,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT24,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",OUTPUT25,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC505,COBOL,Actuarial,"Hutto, Amy",REPORT-DAT,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC507,COBOL,Actuarial,"Hutto, Amy",ERROR-FILE,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC507,COBOL,Actuarial,"Hutto, Amy",PRT-OUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC522,COBOL,Actuarial,"Hutto, Amy",MASTER-FILE,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC522,COBOL,Actuarial,"Hutto, Amy",CYCLE-DATE-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC522,COBOL,Actuarial,"Hutto, Amy",EXTRACT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC550,COBOL,Actuarial,"Hutto, Amy",CONV-HISTORY,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC550,COBOL,Actuarial,"Hutto, Amy",EXT-OUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC550,COBOL,Actuarial,"Hutto, Amy",DATE-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC560,COBOL,Actuarial,"Hutto, Amy",IN-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC560,COBOL,Actuarial,"Hutto, Amy",STATE-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC560,COBOL,Actuarial,"Hutto, Amy",CON-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC560,COBOL,Actuarial,"Hutto, Amy",LIT-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC560,COBOL,Actuarial,"Hutto, Amy",DATE-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC560,COBOL,Actuarial,"Hutto, Amy",PRT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC590,COBOL,Actuarial,"Hutto, Amy",CONV-HISTORY-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC590,COBOL,Actuarial,"Hutto, Amy",ACT-EXTRACT-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC590,COBOL,Actuarial,"Hutto, Amy",ACT-SHEHIC-COMBO-EXTR-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC590,COBOL,Actuarial,"Hutto, Amy",DATE-FILE,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC600,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC600,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC610,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC610,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC620,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC620,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC701,COBOL,Actuarial,"Hutto, Amy",EXTRACT-FILE,INPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC701,COBOL,Actuarial,"Hutto, Amy",MASTER-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
ARSCC701,COBOL,Actuarial,"Hutto, Amy",PGB-FILE,INPUT,No,Yes,No,No,No,No,No,No,No,No
ARSCC701,COBOL,Actuarial,"Hutto, Amy",PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
ARSCC701,COBOL,Actuarial,"Hutto, Amy",A-EXTRACT-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC701,COBOL,Actuarial,"Hutto, Amy",B-EXTRACT-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC701,COBOL,Actuarial,"Hutto, Amy",E-EXTRACT-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC701,COBOL,Actuarial,"Hutto, Amy",F-EXTRACT-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC701,COBOL,Actuarial,"Hutto, Amy",S-EXTRACT-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC701,COBOL,Actuarial,"Hutto, Amy",T-EXTRACT-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
ARSCC701,COBOL,Actuarial,"Hutto, Amy",Z-EXTRACT-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
