calling_component_name,called_component_type,application_name,application_owner,instance
COCOS368,COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
COCOS372,COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
COCOS400,COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
NBCODRVR,COBOL,Batch Trac,"Hutto, Amy",Columbus
NBCKWX34,COBOL,Batch Trac,"Hutto, Amy",Columbus
NBCKWX35,COBOL,Batch Trac,"Hutto, Amy",Columbus
NBCKWX38,COBOL,Batch Trac,"Hutto, Amy",Columbus
NBCKWX39,COBOL,Batch Trac,"Hutto, Amy",Columbus
NC313RE2,COBOL,New Business Scorecard,"Hutto, Amy",Columbus
NBCO0840,COBOL,Batch Trac,"Hutto, Amy",Columbus
POLICYAS,COBOL,Omega Reissues,"Hutto, Amy",Columbus
CPCO007A,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPCO0272,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPCO0403,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPCO0404,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPCO0445,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPCO0446,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPCO0447,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPCO046A,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPCO0875,COBOL,Policy Remarks,"Hutto, Amy",Columbus
PCABB010,COBOL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
APPSABNW,DCLGEN,Actuarial,"Hutto, Amy",Columbus
NP00020X,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
CPUGMMS1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPUGMMS2,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIAFLHS,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSGRMST,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
APPSABNC,DCLGEN,Actuarial,"Hutto, Amy",Columbus
CPSGCPRI,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPDGRPAD,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPDGPN01,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPFGPN01,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPFGRPAD,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPNO0020,COBOL,Policy Remarks,"Hutto, Amy",Columbus
COCBS090,COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
CODATEM,DCLGEN,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
CODASEC,DCLGEN,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
COCC7080,COPYBOOK,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
COCOP011,COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
COCOP420,COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
COCC6080,DCLGEN,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
CPC6000X,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPC6000I,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPC6000O,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPC6000J,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPC6000C,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPC6000L,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPC6000K,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPCC0111,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPCC0112,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
FGCPM,MAPS,Life 70 - General Accounting,"Hutto, Amy",Columbus
FGPM,COBOL,Life 70 - General Accounting,"Hutto, Amy",Columbus
PMRREAD1,COBOL,Policy Master Record Inquiry,"Hutto, Amy",Columbus
NPCU001X,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NBDS0030,DCLGEN,Batch Trac,"Hutto, Amy",Columbus
NBCS0321,DCLGEN,Batch Trac,"Hutto, Amy",Columbus
NBFS0321,DCLGEN,Batch Trac,"Hutto, Amy",Columbus
NBT2,COBOL,Batch Trac,"Hutto, Amy",Columbus
NBT3,COBOL,Batch Trac,"Hutto, Amy",Columbus
NBXM1,COBOL,Batch Trac,"Hutto, Amy",Columbus
NB85,COBOL,Batch Trac,"Hutto, Amy",Columbus
NB90,COBOL,Batch Trac,"Hutto, Amy",Columbus
NP111,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NFCICONT,DCLGEN,New Business Scorecard,"Hutto, Amy",Columbus
NFCIAGNM,DCLGEN,New Business Scorecard,"Hutto, Amy",Columbus
NFCICUDT,DCLGEN,New Business Scorecard,"Hutto, Amy",Columbus
NFCICUST,DCLGEN,New Business Scorecard,"Hutto, Amy",Columbus
NFCILFBD,DCLGEN,New Business Scorecard,"Hutto, Amy",Columbus
NFCILFSP,DCLGEN,New Business Scorecard,"Hutto, Amy",Columbus
NFCIRQUR,DCLGEN,New Business Scorecard,"Hutto, Amy",Columbus
NP11097,MAPS,Life 70 - Underwriting,"Hutto, Amy",Columbus
NPC0070X,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NPC0070I,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NPC0070O,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NPC0070J,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NPC0070C,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NPC0070L,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NPC0070K,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NPCB0227,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NPCU0015,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NVCALL,COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
CPCCP123,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPCCP126,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPCCP128,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPCCP124,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIISTDB,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIEVENT,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIREQST,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIINVOI,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIRESPS,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSSEVNT,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSSHINV,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPUSHINV,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSSREQU,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSSRESP,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSSINVO,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPUSRESP,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIHEVNT,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIHINVO,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIHREQ1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIHRES1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIHSCN1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPISCANL,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPISCANE,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSBNKDC,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSBNKDN,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPUSREQ1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPUSREQU,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSLANGI,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPFMI001,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPFAI001,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIHSCE1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPIHPORE,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPDSINVO,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPDSRES1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPDSSDE1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPDSSCN1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPDSPOR1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPDSREQ1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPDSEVNT,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPCCP020,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
POCC0633,DCLGEN,Omega Reissues,"Hutto, Amy",Columbus
PCCB9003,COBOL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
PMCP120X,COBOL,Policy Master Record Inquiry,"Hutto, Amy",Columbus
PMCP120I,COBOL,Policy Master Record Inquiry,"Hutto, Amy",Columbus
PMCP120O,COBOL,Policy Master Record Inquiry,"Hutto, Amy",Columbus
PMCP120J,COBOL,Policy Master Record Inquiry,"Hutto, Amy",Columbus
PMCP120C,COBOL,Policy Master Record Inquiry,"Hutto, Amy",Columbus
PMCP120L,COBOL,Policy Master Record Inquiry,"Hutto, Amy",Columbus
PMCP120K,COBOL,Policy Master Record Inquiry,"Hutto, Amy",Columbus
PMCC0130,DCLGEN,Policy Master Record Inquiry,"Hutto, Amy",Columbus
PMMO130,DCLGEN,Policy Master Record Inquiry,"Hutto, Amy",Columbus
PMMO140,DCLGEN,Policy Master Record Inquiry,"Hutto, Amy",Columbus
PMMO145,DCLGEN,Policy Master Record Inquiry,"Hutto, Amy",Columbus
PMMO141,DCLGEN,Policy Master Record Inquiry,"Hutto, Amy",Columbus
PMMO160,DCLGEN,Policy Master Record Inquiry,"Hutto, Amy",Columbus
POC5000X,COBOL,Omega Reissues,"Hutto, Amy",Columbus
POC5000I,COBOL,Omega Reissues,"Hutto, Amy",Columbus
POC5000O,COBOL,Omega Reissues,"Hutto, Amy",Columbus
POC5000J,COBOL,Omega Reissues,"Hutto, Amy",Columbus
POC5000C,COBOL,Omega Reissues,"Hutto, Amy",Columbus
POC5000L,COBOL,Omega Reissues,"Hutto, Amy",Columbus
POC5000K,COBOL,Omega Reissues,"Hutto, Amy",Columbus
POCC0001,DCLGEN,Omega Reissues,"Hutto, Amy",Columbus
POCO6100,COBOL,Omega Reissues,"Hutto, Amy",Columbus
POCC7800,DCLGEN,Omega Reissues,"Hutto, Amy",Columbus
POCC7850,DCLGEN,Omega Reissues,"Hutto, Amy",Columbus
POCC7900,DCLGEN,Omega Reissues,"Hutto, Amy",Columbus
POCC7950,DCLGEN,Omega Reissues,"Hutto, Amy",Columbus
PRC0100X,COBOL,Rerates,"Hutto, Amy",Columbus
PRC0100I,COBOL,Rerates,"Hutto, Amy",Columbus
PRC0100O,COBOL,Rerates,"Hutto, Amy",Columbus
PRC0100J,COBOL,Rerates,"Hutto, Amy",Columbus
PRC0100C,COBOL,Rerates,"Hutto, Amy",Columbus
PRC0100L,COBOL,Rerates,"Hutto, Amy",Columbus
PRC0100K,COBOL,Rerates,"Hutto, Amy",Columbus
PENRECG,DCLGEN,Policy Exceptions,"Hutto, Amy",Columbus
ATTMATCH,COPYBOOK,Actuarial,"Hutto, Amy",Columbus
CPSGCPRB,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSS162B,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSCONTR,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPDDFLT1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPDDFLT2,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPFEXOVR,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPFGROVR,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPFSTOVR,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPFDFLT1,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPFDFLT2,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSAPYPR,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSOINVC,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
CPSINVCN,DCLGEN,Policy Remarks,"Hutto, Amy",Columbus
WWCO0000,COBOL,"Policy Services Workflow
Owner: Amy","Hutto, Amy",Columbus
COLHDRS,MAPS,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
TCPDATA,CONTROL_CARD,Policy Remarks,"Hutto, Amy",Columbus
PE10SPX,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PE15X,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PE20SPX,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PE25X,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PE22X,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PE23SPX,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PE77X,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PE78X,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PE10X,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PE20X,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PE23X,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PE40X,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PE50X,COBOL,Policy Exceptions,"Hutto, Amy",Columbus
PCEB1103,EZPLUS,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
PCEB1130,EZPLUS,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
PCEB1104,EZPLUS,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
PCEB1135,EZPLUS,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
CAR200,PROC,Actuarial,"Hutto, Amy",Columbus
ARSCC007,COBOL,Actuarial,"Hutto, Amy",Columbus
CAR210,PROC,Actuarial,"Hutto, Amy",Columbus
ARCB0630,COBOL,Actuarial,"Hutto, Amy",Columbus
NB11X,COBOL,Batch Trac,"Hutto, Amy",Columbus
NB12X,COBOL,Batch Trac,"Hutto, Amy",Columbus
NB13X,COBOL,Batch Trac,"Hutto, Amy",Columbus
NB15X,COBOL,Batch Trac,"Hutto, Amy",Columbus
PLEB0070,COBOL,Omega Lit,"Hutto, Amy",Columbus
DATECARD,CONTROL_CARD,Actuarial,"Hutto, Amy",Columbus
CPBTC005,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPBTC015,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPMMSAPC9,CONTROL_CARD,Policy Master Record Inquiry,"Hutto, Amy",Columbus
CPMMSTPC9,CONTROL_CARD,Policy Master Record Inquiry,"Hutto, Amy",Columbus
CPMMSAPC1,CONTROL_CARD,Policy Master Record Inquiry,"Hutto, Amy",Columbus
CPMMSTPC1,CONTROL_CARD,Policy Master Record Inquiry,"Hutto, Amy",Columbus
ACPMQ705,CONTROL_CARD,Policy Remarks,"Hutto, Amy",Columbus
ACPMQ715,CONTROL_CARD,Policy Remarks,"Hutto, Amy",Columbus
CPLLADDR,CONTROL_CARD,Omega Lit,"Hutto, Amy",Columbus
CPLOADDR,CONTROL_CARD,Omega Lit,"Hutto, Amy",Columbus
CPOCVUPP,CONTROL_CARD,Omega Reissues,"Hutto, Amy",Columbus
CPOGROUP,CONTROL_CARD,Omega Reissues,"Hutto, Amy",Columbus
CPOIMAGP,CONTROL_CARD,Omega Reissues,"Hutto, Amy",Columbus
CPOSCIMP,CONTROL_CARD,Omega Reissues,"Hutto, Amy",Columbus
CPOLICY,PROC,Omega Reissues,"Hutto, Amy",Columbus
CPOPLFRL,CONTROL_CARD,Omega Reissues,"Hutto, Amy",Columbus
CPLQ600M,CONTROL_CARD,Omega Lit,"Hutto, Amy",Columbus
CPOOLFRL,CONTROL_CARD,Omega Reissues,"Hutto, Amy",Columbus
CPOPLEFT,CONTROL_CARD,Omega Reissues,"Hutto, Amy",Columbus
CPOTOTAL,CONTROL_CARD,Omega Reissues,"Hutto, Amy",Columbus
CPOLRQ2P,CONTROL_CARD,Omega Reissues,"Hutto, Amy",Columbus
CPOLREQP,CONTROL_CARD,Omega Reissues,"Hutto, Amy",Columbus
CPLCAP,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLCRP,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLCCR,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLCCX,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLCCE,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLCBR,COBOL,Policy Remarks,"Hutto, Amy",Columbus
APMRORGX,COBOL,Actuarial,"Hutto, Amy",Columbus
DATAMAP,CONTROL_CARD,Actuarial,"Hutto, Amy",Columbus
SPECOTH,CONTROL_CARD,Policy Exceptions,"Hutto, Amy",Columbus
SPECHIP,CONTROL_CARD,Policy Exceptions,"Hutto, Amy",Columbus
SPECACC,CONTROL_CARD,Policy Exceptions,"Hutto, Amy",Columbus
SPECDEN,CONTROL_CARD,Policy Exceptions,"Hutto, Amy",Columbus
SPECCAN,CONTROL_CARD,Policy Exceptions,"Hutto, Amy",Columbus
CPOADVSL,CONTROL_CARD,Omega Reissues,"Hutto, Amy",Columbus
CPODENTL,CONTROL_CARD,Omega Reissues,"Hutto, Amy",Columbus
FGAB001X,COBOL,Life 70 - General Accounting,"Hutto, Amy",Columbus
CPLUAP,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLURP,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLLAEV,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLLAP,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLLRP,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLLTBLG,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLUBR,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLUCX,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLUCR,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLPMTMA,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLCMTMU,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLUMMC,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLLCRC,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLLBR,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLLBH,COBOL,Policy Remarks,"Hutto, Amy",Columbus
APS90000,COBOL,Actuarial,"Hutto, Amy",Columbus
APS90010,COBOL,Actuarial,"Hutto, Amy",Columbus
APS90015,COBOL,Actuarial,"Hutto, Amy",Columbus
APS99006,COBOL,Actuarial,"Hutto, Amy",Columbus
APS90020,COBOL,Actuarial,"Hutto, Amy",Columbus
APS90050,COBOL,Actuarial,"Hutto, Amy",Columbus
APS90070,COBOL,Actuarial,"Hutto, Amy",Columbus
APS91050,COBOL,Actuarial,"Hutto, Amy",Columbus
APS91055,COBOL,Actuarial,"Hutto, Amy",Columbus
APS91060,COBOL,Actuarial,"Hutto, Amy",Columbus
APS90005,COBOL,Actuarial,"Hutto, Amy",Columbus
APS99005,COBOL,Actuarial,"Hutto, Amy",Columbus
CPLCC9D,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLCRCF,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLCCRRC,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLCOCI,COBOL,Policy Remarks,"Hutto, Amy",Columbus
SAPTYPE,CONTROL_CARD,Actuarial,"Hutto, Amy",Columbus
CPLEDTIN,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLPDTIN,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLPNSRT,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLPNSSP,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CPLPNSSO,COBOL,Policy Remarks,"Hutto, Amy",Columbus
CFG012,PROC,Life 70 - General Accounting,"Hutto, Amy",Columbus
JAPANABC,CONTROL_CARD,Actuarial,"Hutto, Amy",Columbus
NV5S2500,COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
NV5S0300,COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
AP20000X,COBOL,Actuarial,"Hutto, Amy",Columbus
APCARD,CONTROL_CARD,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
AP29000X,COBOL,Actuarial,"Hutto, Amy",Columbus
PCEBHCR1,COBOL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
PCEBHCR2,COBOL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
PCEBHCR3,COBOL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
PCEBHCR4,COBOL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
AP30000X,COBOL,Actuarial,"Hutto, Amy",Columbus
AP40000X,COBOL,Actuarial,"Hutto, Amy",Columbus
FATS,CONTROL_CARD,Actuarial,"Hutto, Amy",Columbus
OPENMOBW,CONTROL_CARD,Policy Exceptions,"Hutto, Amy",Columbus
CJRPN000,CONTROL_CARD,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
CJRPN010,CONTROL_CARD,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
CAPFAUTH,PROC,Actuarial,"Hutto, Amy",Columbus
APCODEX,COBOL,Actuarial,"Hutto, Amy",Columbus
APCODPT,CONTROL_CARD,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
AP10000X,COBOL,Actuarial,"Hutto, Amy",Columbus
PG11PROD,COBOL,Omega Letter Generation,"Hutto, Amy",Columbus
COMMPR,COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",Columbus
PCVE0120,COBOL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",Columbus
CNFMSAPC1,CONTROL_CARD,New Business Scorecard,"Hutto, Amy",Columbus
NP50039X,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NP2000SX,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
PPIE0100,COBOL,Policy Pages,"Hutto, Amy",Columbus
NP49000X,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
NPAB020X,COBOL,Life 70 - Underwriting,"Hutto, Amy",Columbus
PREB0200,COBOL,Rerates,"Hutto, Amy",Columbus
PREB0210,COBOL,Rerates,"Hutto, Amy",Columbus
PREB0220,COBOL,Rerates,"Hutto, Amy",Columbus
